DATA_BASE;DIST;ITEM;Próprio_Distribuidor;Diferente_Próprio_Distribuidor;Total
31/12/2023;5216;REDE BT SUBTERRANEA               ;53.097262;5.244801;58.342063
31/12/2024;5216;REDE BT SUBTERRANEA               ;59.500733;5.122021;64.622754
31/12/2022;6585;REDE BT SUBTERRANEA               ;;0.005453;0.005453
31/12/2023;6585;REDE BT SUBTERRANEA               ;0.065521;;0.065521
31/12/2024;6585;REDE BT SUBTERRANEA               ;0.259901;;0.259901
31/12/2020;6587;REDE BT SUBTERRANEA               ;20.844238;19.873779;40.718017
31/12/2021;6587;REDE BT SUBTERRANEA               ;22.910806;39.965188;62.875994
31/12/2022;6587;REDE BT SUBTERRANEA               ;40.264729;130.07467;170.339399
31/12/2023;6587;REDE BT SUBTERRANEA               ;48.3032;128.122716;176.425916
31/12/2024;6587;REDE BT SUBTERRANEA               ;49.162869;100.149451;149.31232
31/12/2020;6600;REDE BT SUBTERRANEA               ;24.712974;3.190317;27.903291
31/12/2021;6600;REDE BT SUBTERRANEA               ;31.741751;3.828343;35.570094
31/12/2022;6600;REDE BT SUBTERRANEA               ;32.649375;3.828343;36.477718
31/12/2023;6600;REDE BT SUBTERRANEA               ;26.582162;24.959328;51.54149
31/12/2024;6600;REDE BT SUBTERRANEA               ;26.888485;24.942003;51.830488
31/12/2020;6611;REDE BT SUBTERRANEA               ;1.765313;1.275798;3.041111
31/12/2021;6611;REDE BT SUBTERRANEA               ;1.759948;1.275798;3.035746
31/12/2022;6611;REDE BT SUBTERRANEA               ;1.759948;1.275798;3.035746
31/12/2020;26;REDE MT                           ;17783.065843;9.357491;17792.423334
31/12/2021;26;REDE MT                           ;17965.63177;14.346482;17979.978252
31/12/2022;26;REDE MT                           ;18393.420284;24.344945;18417.765229
31/12/2023;26;REDE MT                           ;18972.281176;66.113746;19038.394922
31/12/2024;26;REDE MT                           ;20045.502129;73.103044;20118.605173
31/12/2020;32;REDE MT                           ;86781.164459;299.38139;87080.545849
31/12/2021;32;REDE MT                           ;87282.998348;317.028498;87600.026846
31/12/2022;32;REDE MT                           ;88795.30657;326.23358;89121.54015
31/12/2023;32;REDE MT                           ;89876.515785;340.747775;90217.26356
31/12/2024;32;REDE MT                           ;91287.190795;405.403585;91692.59438
31/12/2020;369;REDE MT                           ;56135.975236;4371.661231;60507.636467
31/12/2021;369;REDE MT                           ;60640.649803;789.292601;61429.942404
31/12/2022;369;REDE MT                           ;63078.68222;880.713465;63959.395685
31/12/2023;369;REDE MT                           ;64968.181148;261.313446;65229.494594
31/12/2024;369;REDE MT                           ;66206.185366;337.454903;66543.640269
31/12/2020;404;REDE MT                           ;85263.731106;1164.014671;86427.745777
31/12/2021;404;REDE MT                           ;85738.951784;1213.510985;86952.462769
31/12/2022;404;REDE MT                           ;87015.190965;1289.711834;88304.902799
31/12/2023;404;REDE MT                           ;87997.291348;1368.350668;89365.642016
31/12/2024;404;REDE MT                           ;88884.334121;1529.78477;90414.118891
31/12/2020;405;REDE MT                           ;176057.337091;13117.258146;189174.595237
31/12/2021;405;REDE MT                           ;180685.872452;13144.88197;193830.754422
31/12/2022;405;REDE MT                           ;186670.253635;11587.314663;198257.568298
31/12/2023;405;REDE MT                           ;189129.02542;11078.960649;200207.986069
31/12/2024;405;REDE MT                           ;194093.643754;10851.314419;204944.958173
31/12/2020;5216;REDE MT                           ;22872.529623;497.758049;23370.287672
31/12/2021;5216;REDE MT                           ;23159.171863;490.17448;23649.346343
31/12/2022;5216;REDE MT                           ;23281.234141;464.272228;23745.506369
31/12/2023;5216;REDE MT                           ;23656.342542;475.284369;24131.626911
31/12/2024;5216;REDE MT                           ;23924.329701;496.241444;24420.571145
31/12/2020;6585;REDE MT                           ;23988.914526;60.563934;24049.47846
31/12/2021;6585;REDE MT                           ;24154.97501;56.752279;24211.727289
31/12/2022;6585;REDE MT                           ;25587.995077;57.617115;25645.612192
31/12/2023;6585;REDE MT                           ;25784.014793;80.108662;25864.123455
31/12/2024;6585;REDE MT                           ;25949.912301;88.094967;26038.007268
31/12/2020;6587;REDE MT                           ;18338.099612;683.456615;19021.556227
31/12/2021;6587;REDE MT                           ;18514.928084;684.038017;19198.966101
